Gmt time,Open,High,Low,Close,Volume
08.05.2017 00:00:00.000,1555,1700,1544,1669,2261.9148
09.05.2017 00:00:00.000,1667,1753,1651,1719,1319.3301
10.05.2017 00:00:00.000,1719,1766,1710,1752,1538.9805
11.05.2017 00:00:00.000,1780,1886,1776,1830,1615.8442
12.05.2017 00:00:00.000,1799,1824,1651,1691,2544.9431
13.05.2017 00:00:00.000,1691,1691,1691,1691,0
14.05.2017 00:00:00.000,1775,1800,1757,1793,323.6974
15.05.2017 00:00:00.000,1794,1802,1711,1726,1069.5699
16.05.2017 00:00:00.000,1740,1782,1710,1778,2826.4795
17.05.2017 00:00:00.000,1779,1853,1743,1813,4100.8066
18.05.2017 00:00:00.000,1813,1904,1798,1896,3009.2666
19.05.2017 00:00:00.000,1897,1962,1852,1938,1358.0601
20.05.2017 00:00:00.000,1938,1938,1938,1938,0
21.05.2017 00:00:00.000,2027,2059,1986,2032,359.9367
22.05.2017 00:00:00.000,2032,2298,1973,2105,3296.7468
23.05.2017 00:00:00.000,2105,2270,2100,2255,2443.9031
24.05.2017 00:00:00.000,2256,2435,2254,2430,2092.1873
25.05.2017 00:00:00.000,2421,2799,2206,2329,3235.8691
26.05.2017 00:00:00.000,2329,2662,2241,2242,2814.5278
27.05.2017 00:00:00.000,2242,2242,2242,2242,0
28.05.2017 00:00:00.000,2205,2248,2082,2180,338.6141
29.05.2017 00:00:00.000,2180,2353,2094,2274,5475.0288
30.05.2017 00:00:00.000,2275,2331,2129,2192,4838.4736
31.05.2017 00:00:00.000,2191,2336,2148,2303,4911.75
01.06.2017 00:00:00.000,2304,2475,2298,2418,2561.6953
02.06.2017 00:00:00.000,2418,2449,2379,2430,2867.5283
03.06.2017 00:00:00.000,2430,2430,2430,2430,0
04.06.2017 00:00:00.000,2522,2537,2471,2523,219.3016
05.06.2017 00:00:00.000,2524,2629,2518,2625,1588.6805
06.06.2017 00:00:00.000,2690,2939,2671,2869,2599.2129
07.06.2017 00:00:00.000,2869,2882,2609,2686,3192.3225
08.06.2017 00:00:00.000,2685,2812,2618,2808,2606.0122
09.06.2017 00:00:00.000,2808,2860,2787,2835,2096.9106
10.06.2017 00:00:00.000,2835,2835,2835,2835,0
11.06.2017 00:00:00.000,2926,2999,2855,2954,230.1211
12.06.2017 00:00:00.000,2954,3000,2427,2524,1305.1497
13.06.2017 00:00:00.000,2654,2785,2632,2710,2602.0017
14.06.2017 00:00:00.000,2710,2811,2326,2453,1288.675
15.06.2017 00:00:00.000,2341,2470,2075,2407,2707.5046
16.06.2017 00:00:00.000,2405,2521,2303,2488,2289.2095
17.06.2017 00:00:00.000,2488,2488,2488,2488,0
18.06.2017 00:00:00.000,2527,2538,2458,2508,380.7287
19.06.2017 00:00:00.000,2514,2585,2484,2580,2472.2339
20.06.2017 00:00:00.000,2597,2772,2584,2725,2598.6235
21.06.2017 00:00:00.000,2725,2780,2569,2647,1744.5088
22.06.2017 00:00:00.000,2647,2729,2598,2684,2504.178
23.06.2017 00:00:00.000,2683,2734,2664,2707,1993.8311
24.06.2017 00:00:00.000,2707,2707,2707,2707,0
25.06.2017 00:00:00.000,2518,2523,2408,2499,244.7802
26.06.2017 00:00:00.000,2499,2556,2253,2408,2638.7141
27.06.2017 00:00:00.000,2408,2571,2264,2571,2798.6709
28.06.2017 00:00:00.000,2571,2602,2455,2554,2159.8479
29.06.2017 00:00:00.000,2553,2592,2502,2530,2354.5979
30.06.2017 00:00:00.000,2531,2552,2478,2502,1542.1305
01.07.2017 00:00:00.000,2502,2502,2502,2502,0
02.07.2017 00:00:00.000,2481,2534,2474,2508,226.1963
03.07.2017 00:00:00.000,2508,2585,2471,2547,1906.7847
