Gmt time,Open,High,Low,Close,Volume
03.06.2024 00:00:00.000,1.08526,1.08574,1.08512,1.08564,3884.6399999999994
03.06.2024 01:00:00.000,1.08565,1.08587,1.08547,1.08576,4887.379999999999
03.06.2024 02:00:00.000,1.08577,1.08579,1.08519,1.08539,4169.429999999998
03.06.2024 03:00:00.000,1.08539,1.08568,1.08493,1.08497,4153.330000000001
03.06.2024 04:00:00.000,1.08497,1.08546,1.08492,1.08517,2979.14
03.06.2024 05:00:00.000,1.08518,1.08540,1.08483,1.08525,4554.38
03.06.2024 06:00:00.000,1.08524,1.08586,1.08467,1.08564,8361.48
03.06.2024 07:00:00.000,1.08563,1.08587,1.08397,1.08398,10942.22
03.06.2024 08:00:00.000,1.08397,1.08423,1.08334,1.08400,9438.939999999997
03.06.2024 09:00:00.000,1.08400,1.08411,1.08321,1.08348,7174.199999999997
03.06.2024 10:00:00.000,1.08348,1.08390,1.08278,1.08370,6930.140000000002
03.06.2024 11:00:00.000,1.08370,1.08448,1.08370,1.08432,7485.03
03.06.2024 12:00:00.000,1.08433,1.08498,1.08405,1.08442,8432.18
03.06.2024 13:00:00.000,1.08443,1.08537,1.08443,1.08516,11888.029999999999
03.06.2024 14:00:00.000,1.08602,1.08825,1.08600,1.08699,26387.25
03.06.2024 15:00:00.000,1.08700,1.08904,1.08696,1.08896,11358.73
03.06.2024 16:00:00.000,1.08895,1.08904,1.08812,1.08851,10484.55
03.06.2024 17:00:00.000,1.08849,1.08886,1.08813,1.08879,7515.599999999998
03.06.2024 18:00:00.000,1.08880,1.08976,1.08868,1.08972,6382.599999999999
03.06.2024 19:00:00.000,1.08971,1.08999,1.08960,1.08999,6069.610000000001
03.06.2024 20:00:00.000,1.08998,1.09045,1.08995,1.09039,1820.26
03.06.2024 21:00:00.000,1.09039,1.09039,1.09002,1.09028,1553.67
03.06.2024 22:00:00.000,1.09028,1.09098,1.09019,1.09071,1964.1399999999994
03.06.2024 23:00:00.000,1.09070,1.09089,1.09062,1.09071,4675.560000000001
04.06.2024 00:00:00.000,1.09072,1.09160,1.09072,1.09129,5032.489999999999
04.06.2024 01:00:00.000,1.09127,1.09137,1.09069,1.09076,6201.999999999999
04.06.2024 02:00:00.000,1.09076,1.09085,1.09051,1.09076,3116.100000000001
04.06.2024 03:00:00.000,1.09076,1.09098,1.09068,1.09074,3638.0899999999997
04.06.2024 04:00:00.000,1.09074,1.09098,1.09067,1.09093,2231.100000000001
04.06.2024 05:00:00.000,1.09093,1.09108,1.09027,1.09030,4316.679999999999
04.06.2024 06:00:00.000,1.09031,1.09048,1.08963,1.08971,10176.259999999998
04.06.2024 07:00:00.000,1.08970,1.08985,1.08847,1.08901,13644.540000000005
04.06.2024 08:00:00.000,1.08902,1.08907,1.08740,1.08808,12247.469999999998
04.06.2024 09:00:00.000,1.08808,1.08820,1.08692,1.08717,10672.940000000004
04.06.2024 10:00:00.000,1.08717,1.08717,1.08631,1.08663,10798.61
04.06.2024 11:00:00.000,1.08662,1.08705,1.08590,1.08615,8294.149999999998
04.06.2024 12:00:00.000,1.08615,1.08701,1.08615,1.08645,9898.259999999998
04.06.2024 13:00:00.000,1.08646,1.08716,1.08621,1.08660,10286.399999999996
04.06.2024 14:00:00.000,1.08660,1.08822,1.08632,1.08802,23617.95
04.06.2024 15:00:00.000,1.08802,1.08835,1.08749,1.08776,12448.13
04.06.2024 16:00:00.000,1.08777,1.08834,1.08774,1.08803,8733.700000000003
04.06.2024 17:00:00.000,1.08802,1.08877,1.08781,1.08833,6602.0700000000015
04.06.2024 18:00:00.000,1.08832,1.08865,1.08802,1.08821,5470.950000000002
04.06.2024 19:00:00.000,1.08820,1.08826,1.08784,1.08809,8386.689999999999
04.06.2024 20:00:00.000,1.08809,1.08809,1.08781,1.08789,1902.7899999999997
04.06.2024 21:00:00.000,1.08785,1.08811,1.08780,1.08792,1046.4499999999996
04.06.2024 22:00:00.000,1.08791,1.08801,1.08778,1.08795,818.88
04.06.2024 23:00:00.000,1.08795,1.08819,1.08794,1.08817,1453.0999999999995
05.06.2024 00:00:00.000,1.08816,1.08860,1.08783,1.08841,4499.969999999999
05.06.2024 01:00:00.000,1.08842,1.08860,1.08805,1.08840,3668.2500000000005
05.06.2024 02:00:00.000,1.08839,1.08856,1.08828,1.08832,2181.05
05.06.2024 03:00:00.000,1.08833,1.08836,1.08766,1.08784,5790.840000000001
05.06.2024 04:00:00.000,1.08783,1.08809,1.08771,1.08805,2388.949999999999
05.06.2024 05:00:00.000,1.08806,1.08822,1.08759,1.08791,3778.8599999999997
05.06.2024 06:00:00.000,1.08790,1.08801,1.08721,1.08759,6413.35
05.06.2024 07:00:00.000,1.08758,1.08794,1.08708,1.08715,11355.71
05.06.2024 08:00:00.000,1.08715,1.08767,1.08700,1.08758,6143.799999999999
05.06.2024 09:00:00.000,1.08757,1.08772,1.08714,1.08735,6931.829999999998
05.06.2024 10:00:00.000,1.08734,1.08734,1.08649,1.08685,6343.159999999999
